name,script,time
주인공,안녕하세요. 인사드렸던 1팀 조장 주인공입니다.,1
재혁,어 반갑다. 난 누군지 다 알지?,1
세민,선배님 안녕하세용ㅎㅎ,1
재혁,어 그래ㅎ,1
주인공,저희 3주차 수업 내용을 바탕으로<br>발표를 준비해야 합니다!,1
주인공,각자 필기한 내용 올려주시면 감사하겠습니다.,1
세민,넵 누낭,1
재혁,그래. 확인해야하니까 다들 올려봐.,1
주인공,선배도 올리셔야죠.,1
재혁,야 이런 건 원래 새내기들이<br>빠릿하게 딱 올려 놓는 거야.,1
재혁,으이그 학생회도 했던 애가<br>그런 기본도 안 되어있으면 어떡해?,1
주인공,다 같이 준비하는데 선배고 후배고가 어딨어요.,1
주인공,각자 놓친 부분이 있으면 서로<br>보완해줘야 하니까 그냥 올려주세요.,1
재혁,옛날에는 꼬박 꼬박<br>선배님~ 선배님~ 하더니..,1
재혁,애가 왜이렇게 융통성이 없어졌어?<br>어우 말투 차가운 거 봐.,1
재혁,인공이 나 없는 동안 남자한테 인기 없었지ㅎ,1
세민,에이 인공이누나 남자한테<br>인기 많으셨을 것 같은데 왜 그러세요.,1
주인공,저희 사담은 자제하고,2
주인공,빠른 회의 진행을 위해<br>필기 올려주시면 감사하겠습니다.,1
세민,넵 누나!ㅎㅎ,1
세민,(/3주차 필기.docx),1
재혁,넌 여전하구나?,2
재혁,그래도 예전엔 귀여운 맛이 있었는데<br>나이를 먹어서 그런가,1
재혁,애가 재미 없어졌네ㅡㅡ,1
재혁,/필기3.txt,1
주인공,(텍스트 파일? 이 사람 메모장에 필기 한 거야?),1
주인공,(아니야 섣불리 판단하지 말자.<br>파일 형식보다 내용이 중요한거니까.),1
 상황,- 김재혁의 파일을 확인한다 -,2
주인공,(…),1
주인공,(그래 기대도 안했다.),1
주인공,(어디보자 세민이 파일은…),1
 상황,- 안세민의 파일을 확인한다 -,2
주인공,(…),1
주인공,(얘도 수업을 성실하게 듣는 편은 아니었나..),1
주인공,(김재혁보다는 그래도 낫지만<br>교수님이 강조하셨던 핵심이<br>거의 필기가 안돼서),1
주인공,(큰 도움은 안되겠는 걸.),1
재혁,그러고보니 민영이는 뭐하나~?<br>바쁜가~?,1
재혁,오빠 왔는데 인사도 안하구..ㅎ,1
주인공,민영님 혹시 바쁘신가요?,1
민영,(/3주차 수업 내용 정리.hwp),1
재혁,오 민영이 있었네!,1
재혁,민영아ㅎ 오빠 착해ㅎ,1
재혁,팀플하다가 모르는 거 생기면<br>저 성질 나쁜 애 말고 오빠한테 물어봐ㅎ,1
민영,ㅋ;,1
 상황,- 허민영의 파일을 확인한다 -,2
주인공,(계속 말이 없으셔서<br>이분은 거의 포기 해야 하나 걱정 했었는데<br>필기가 엄청 깔끔하잖아?),1
주인공,(교수님이 짚어주신 핵심도<br>잘 정리가 되어있고),1
주인공,(이정도면 문제 없겠어!),1
재혁,…,1
재혁,민영아 자니..?,1
주인공,민영님 필기 감사합니다.,1
주인공,제가 오늘 4시까지 필기 내용 바탕으로<br>자료조사 파트 분배해서 공지하겠습니다!,1
주인공,자료조사 분들은 확인하시고<br>내일 오후 10시까지 정리해서 올려주세요!,1
주인공,오늘 회의 여기서 마치겠습니다!,1
