name,script,time
상황,,1
주인공,민영님 혹시 자료 준비<br>어떻게 되어가고 계신가요?,1
상황,- 몇시간 후 -,2
주인공,민영님?,1
세민,민영이 마니 바쁜강?<br>누나가 부르시는뎁….ㅇㅅㅇ,1
재혁,걔 어제부터 계속 연락 안되던데.<br>피곤해서 잠든 게 아닐까?,1
재혁,근데 안세민 너 언제부터 민영이라고 불렀냐?,1
세민,그냥 동갑이라서 말 놨는데용?,1
재혁,아 그랬냐?,1
주인공,아무리 그래도 지금까지 자는 건 좀..,1
재혁,미녀는 잠꾸러기라잖아ㅎ<br>민영이 정도면 그럴 만하지.,1
주인공,아.. 네,1
세민,ㅎㅎ누나는 잠 얼마나 주무셨어요?,1
재혁,쟤 다크서클 보면 모르겠냐?,1
주인공,(또 시작이네.),1
주인공,민영님 톡 확인하시면 답장 주세요.,1
민영,무슨 일이시죠?,2
주인공,오 민영님!,1
주인공,자료 오늘까지 부탁드렸는데<br>연락이 없으셔서요.,1
민영,상황 봐서 오늘 중으로 보내겠다고<br>어제 말씀드렸는데요.,1
주인공,아..,1
주인공,오늘까지 기간 드리긴 했지만<br>PPT 작업도 서둘러야 해서,1
주인공,혹시 어디까지 완성되셨는지만<br>알려주실 수 있나요?,1
민영,알아서 자료 올릴 테니까<br>재촉하지 말아주시겠어요?,1
주인공,(아…. 몸에서 사리 나올 것 같아..),1
주인공,(그냥 다 때려치울까.),1
주인공,고혈압으로 죽으면 쟤들이 범인이라고<br>일기장에 유서 적어놔야지. 꼭.),1
재혁,야 새내기 좀 적당히 볶아<br>아직 3일이나 남았는데 뭐가 문제야?,1
재혁,오빠가 커버 쳐줄게 민영이 걱정하지마,1
주인공,(진심으로 때릴까.),1
세민,헉 형님 너무 멋있으세요><,1
재혁,선배로서 당연히 후배를 보듬어줘야지.,1
재혁,민영아 오빠가 너 이렇게 챙긴다ㅎㅅㅎ,1
주인공,(잘들 논다. 아이고 내 팔자야.),1
재혁,…,1
재혁,민영이 자료조사 하러 갔니..?,1
상황,- 자정이 넘은 시각 -,2
주인공,민영님 자료 아직인가요?ㅠ,1
