name,script,time
상황,,1
주인공,(/1조 발표 목차 및 구성.hwp),1
주인공,일단 모인 자료들을 바탕으로<br>발표를 구성해봤습니다.,1
주인공,세민님은 이 자료를 바탕으로,1
주인공,시청각 자료 모아서 PPT 만들어주시면 됩니다.,1
세민,넵 알겠습니당ㅎ,1
상황,- 얼마 후 -,2
세민,누나가 보내주신 거 잘 이해가 안 되는데,1
세민,어떻게 하는 거예요?,1
주인공,네? 어떤 거 말씀하시는 거죠?,1
세민,음.. 이걸 어떻게<br>만들어야 할지 모르겠어용..,1
주인공,어떤 부분이 안되실까요..,1
세민,그냥 전체적으로 잘 모르겠는데,1
세민,그냥 누나가 한 번만<br>봐주시면 안돼용?,1
주인공,정리해드린대로 그냥 만드시면 되는데,1
주인공,어떤 부분이 이해 안 되는 걸까요?,1
주인공,안 되는 부분을 정확하게 짚어주셔야,1
주인공,저도 도움 드릴 수 있을 것 같습니다.,1
세민,저 사실 항상 발표만 해봐서,1
세민,PPT를 한 번도 만들어 본 적이 없어용ㅠㅠ,1
주인공,네?,1
세민,ㅠㅠ,1
주인공,그러면 저희가 처음 역할 분담할 때<br>왜 아무 말씀 안 하셨어요?,2
세민,원래 제가 발표한다고 했는데<br>누나가 가로채셨잖아용…,1
주인공,(이건 또 뭘까 하하하),1
주인공,가로채 간 게 아니라 그때는,1
주인공,이 교수님 수업을 처음 듣는 분들은,1
주인공,대답하기 어려워서 그렇다고<br>말씀드렸는데요.,1
주인공,그리고 PPT가 힘드시면 자료조사를<br>하겠다고 그때 말씀하셨어야죠.,1
세민,그러고 바로 재혁 형님이<br>역할을 정해버리셔서,1
세민,제가 말을 못 했죵…,1
세민,어떻게 형님이 말씀하시는데<br>제가 토를 달아요ㅠㅠ,1
주인공,아니 개인적으로라도 미리 말씀해주시지,1
주인공,인제 와서 이러시면…,1
재혁,뭐야?,2
재혁,주 후배 또 새내기 볶고 있냐?,1
주인공,(으악!!),1
주인공,(자기 일 끝나고 잠수타더니 왜!<br>하필! 이 타이밍에!),1
주인공,제가 볶기는 뭘요^^,1
재혁,저번부터 누누이 이야기 하지만,1
재혁,그렇게 꼰대같은 선배<com> 후배들은 안 좋아해~,1
주인공,선배는 더이상 할 일 없으니<br>다른 할 일 하러 가시죠.,1
주인공,어제오늘 바쁘시다면서요.,1
주인공,아니면 오늘은 좀 한가하신가?,2
재혁,오늘..?,1
주인공,한가하시면 세민이 PPT 좀 도와주….,1
재혁,아아ㅏ 지금 조교 형이 급하게 불러서,1
재혁,세민 수고!,1
세민,힝… 형님ㅠ,1
주인공,아무리 PPT를 못 만든다고 해도,1
주인공,PPT에 들어갈 시청각 자료까지<br>못 찾겠다고 하진 않으시겠죠.,1
세민,그건 그렇지만..,1
주인공,이제 정말 시간 여유가 없어서<br>이런 투정 일일이 받아 줄 수 없어요.,1
세민,저희 어차피 월요일 발표잖아용ㅠ,1
세민,그전까지 완성되면 되는 거 아닌가용?,1
주인공,그전까지 완성이 되려면 세민님이<br>오늘 자료를 올려주셔야 해요.,1
세민,정말 못하겠는데ㅠㅠ,1
주인공,투정 그만 부리시고,1
주인공,일단 PPT에 들어갈 시청각 자료나<br>많이 모아주세요.,1
주인공,저도 다른 과제로 바빠서<br>바로 봐드리진 못하고,1
주인공,오늘 자정까지 올려 놓으시고,1
주인공,내일 PPT 어떻게 만들지 상의해봐요.,1
세민,너무 냉정해….<br>누나 미워요ㅡㅡ,1
주인공,어쩔 수 없어요.<br>내일 뵙겠습니다.,1
세민,누나??,1
세민,…,2
세민,이렇게까지 말 안 하려고 했는데.,1
세민,저 좋아하시면서,1
세민,이렇게 행동하셔도 되는 거예요?,1
주인공,?,1
재혁,무어ㅑ?,1
재혁,뭐야?????,1
재혁,둘이 언제부터?,1
주인공,저도 모르겠는데요;,1
주인공,(얘는 정말 여러 가지로<br>사람 당황시키네;;),1
세민,그동안 누나 마음<br>모른 척해서 죄송하지만,1
세민,그렇다고 저한테 갑자기<br>이러는 건 아닌 것 같아요.,1
재혁,ㅇ0ㅇ….,1
재혁,주 후배 그런 거였어?….,1
주인공,아 뭔 소리예요!!,1
주인공,세민아 네가 엄청 대단한<br>착각을 하고 있는 것 같은데.,1
주인공,난 널 좋아한 적이 없어.,1
세민,물증은 없으니 누나가<br>부정하신다면 할 말은 없지만,2
세민,정말 이러지 말아주세요.,1
주인공,도대체 왜 그렇게<br>생각하는 건지 모르겠지만,1
주인공,내가 너에게 바라는 건<br>발표를 진행할 수 있는 PPT자료 뿐이야.,1
주인공,너야말로 나한테 왜 이러니…..,1
세민,제가 배려 없이<br>단톡방에서 말해버렸네요..,1
세민,일단 팀플이 더 중요하니<br>그만하고 내일 이야기해요.,1
주인공,(아니 저놈이..?),1
주인공,(후…. 일단 참자…),1
주인공,(말도 안 통하는데 싸워서 분위기가<br>더 이상해지면 나만 손해야.),1
주인공,그래.. 내일 나 좀 보자.,1
재혁,오오~<br>주 후배 적극적이야~~?,1
재혁,아끼는 후배들이니까 조언해주는 건데<com>,1
재혁,늬들은 CC 같은 거 하지 마라…,1
주인공,선배 좀 조용히 있어봐요.,1
재혁,알았다ㅎ,1
재혁,비밀연애인거지~~??,1
주인공,(심한 욕),1
재혁,… 미안,1
