name,script,time
주인공,(텍스트 파일? 이 사람 메모장에 필기 한 거야?),1
주인공,(아니야 섣불리 판단하지 말자.<br>파일 형식보다 내용이 중요한거니까.),1
상황,- 김재혁의 파일을 확인한다 -,2
주인공,(…),1
주인공,(그래 기대도 안했다.),1
주인공,(어디보자 세민이 파일은…),1
상황,- 안세민의 파일을 확인한다 -,2
주인공,(…),1
주인공,(얘도 수업을 성실하게 듣는 편은 아니었나..),1
주인공,(김재혁보다는 그래도 낫지만<br>교수님이 강조하셨던 핵심이<br>거의 필기가 안돼서),1
주인공,(큰 도움은 안되겠는 걸.),1
재혁,그러고보니 민영이는 뭐하나~?<br>바쁜가~?,1
재혁,오빠 왔는데 인사도 안하구..ㅎ,1
주인공,민영님 혹시 바쁘신가요?,1
민영,(/3주차 수업 내용 정리.hwp),1
재혁,오 민영이 있었네!,1
재혁,민영아ㅎ 오빠 착해ㅎ,1
재혁,팀플하다가 모르는 거 생기면<br>저 성질 나쁜 애 말고 오빠한테 물어봐ㅎ,1
민영,ㅋ;,1
상황,- 허민영의 파일을 확인한다 -,2
주인공,(계속 말이 없으셔서<br>이분은 거의 포기 해야 하나 걱정 했었는데<br>필기가 엄청 깔끔하잖아?),1
주인공,(교수님이 짚어주신 핵심도<br>잘 정리가 되어있고),1
주인공,(이정도면 문제 없겠어!),1
재혁,…,1
재혁,민영아 자니..?,1
주인공,민영님 필기 감사합니다.,1
주인공,제가 오늘 4시까지 필기 내용 바탕으로<br>자료조사 파트 분배해서 공지하겠습니다!,1
주인공,자료조사 분들은 확인하시고<br>내일 오후 10시까지 정리해서 올려주세요!,1
주인공,오늘 회의 여기서 마치겠습니다!,1
